Symbol,Date,Open,High,Low,Close,Volume
BATA,2014,786,834,754.6,804.22,962
BATA,2014,765,820,765,818.4,814
BATA,2014,818.4,818.4,782,818.4,30
BATA,2014,800,800,777.48,777.48,177
BATA,2014,740,775,738.61,775,150
BATA,2014,750,775,750,775,18
BATA,2014,740,775,736.25,775,6
BATA,2014,736.25,736.25,736.25,736.25,37
BATA,2014,710.01,740,710,738.51,54
BATA,2015,739.99,739.99,701.59,704.17,37
BATA,2015,704.17,704.17,704,704.17,6
BATA,2015,704.17,704.17,704.17,704.17,25
BATA,2015,718.85,718.85,704.17,704.17,3
BATA,2015,724.99,724.99,704.17,704.17,1
BATA,2015,704.17,704.17,704.17,704.17,2
BATA,2015,736,736,704.17,704.17,1
BATA,2015,671,680,670,670.92,38
BATA,2015,688.99,688.99,670.92,670.92,1
BATA,2015,650.5,700,650.5,670.92,3
BATA,2015,685,685,670.92,670.92,20
BATA,2015,699,699,699,699,102
BATA,2015,683,699,683,699,1
BATA,2015,665,699,665,699,5
BATA,2015,665,733.95,665,727.72,117
BATA,2015,739.99,750,739.99,746.42,60
BATA,2015,711,720,711,720,57
BATA,2015,720,748.25,720,748,53
BATA,2015,712,748,711,748,15
BATA,2015,730,748,716,748,31
BATA,2015,738,748,738,748,1
BATA,2015,711,745,710.6,711.84,124
BATA,2015,676.25,710,676.25,679.23,415
BATA,2015,646,679.98,646,649.59,255
BATA,2015,675,675,649.59,649.59,10
BATA,2015,620.01,630,617.12,619.36,163
BATA,2015,630,640,619.36,619.36,22
BATA,2015,630,630,619.36,619.36,30
BATA,2015,640,640,625,627.01,199
BATA,2015,630,650,630,641,55
BATA,2015,630,672,630,633,172
BATA,2015,655,660,633,633,20
BATA,2015,664.65,664.65,641,648.33,104
BATA,2015,650,650,637,637.29,401
BATA,2015,640,640,640,637.29,3
BATA,2015,622,640,622,637.29,12
BATA,2015,621,650,621,626.02,56
BATA,2015,610,610,602,602,1232
BATA,2015,630,630,571.9,573.9,714
BATA,2015,575,587.5,570,587.03,142
BATA,2015,615,616,612,587.03,21
BATA,2015,616,616,616,587.03,1
BATA,2015,616,616.38,585.2,615.71,90
BATA,2015,639,640,605,623.01,48
